db,qname,party
wikidata,Q1135729,Q200314
wikidata,Q11364762,Q232595
wikidata,Q11376723,Q200314
wikidata,Q11535033,Q200314
wikidata,Q129149,Q200314
wikidata,Q130856,Q200314
wikidata,Q1336805,Q200314
wikidata,Q1478311,Q200314
wikidata,Q1906668,Q200314
wikidata,Q1949760,Q200314
wikidata,Q212400,Q200314
wikidata,Q263777,Q200314
wikidata,Q3435725,Q200314
wikidata,Q388496,Q200314
wikidata,Q405533,Q200314
wikidata,Q418119,Q200314
wikidata,Q4700952,Q200314
wikidata,Q472792,Q200314
wikidata,Q47846,Q200314
wikidata,Q4817826,Q200314
wikidata,Q49875,Q200314
wikidata,Q49943,Q200314
wikidata,Q513317,Q200314
wikidata,Q516232,Q200314
wikidata,Q548239,Q200314
wikidata,Q57647,Q200314
wikidata,Q5770152,Q200314
wikidata,Q5771003,Q200314
wikidata,Q58213,Q200314
wikidata,Q582685,Q200314
wikidata,Q6102348,
wikidata,Q6314413,Q200314
wikidata,Q6360573,Q200314
wikidata,Q6383911,Q200314
wikidata,Q6389323,Q200314
wikidata,Q6426239,Q200314
wikidata,Q653000,Q200314
wikidata,Q6739516,Q200314
wikidata,Q6837954,Q200314
wikidata,Q6864590,Q232595
wikidata,Q732087,Q200314
wikidata,Q7497524,Q200314
wikidata,Q7504421,Q200314
wikidata,Q7677369,Q200314
wikidata,Q7677383,Q18116909
wikidata,Q7827415,Q200314
wikidata,Q8050022,Q200314
wikidata,Q8055323,Q200314
wikidata,Q8060577,
wikidata,Q923428,Q18116909
wikidata,Q978256,Q18116909
codefor,Q11353993,Q232595
codefor,Q1135729,Q327591
codefor,Q11360103,Q327591
codefor,Q11364144,Q232595
codefor,Q11364418,Q23055252
codefor,Q11364762,Q327591
codefor,Q11365989,Q232595
codefor,Q11366226,Q23055252
codefor,Q11367646,Q1061354
codefor,Q11368259,Q21499745
codefor,Q11373203,Q21499745
codefor,Q11373245,Q232595
codefor,Q11373350,Q23055252
codefor,Q11373460,Q23055252
codefor,Q11373633,Q232595
codefor,Q11373778,Q232595
codefor,Q11376723,Q23055252
codefor,Q11377132,Q232595
codefor,Q11378895,Q1061354
codefor,Q11379447,Q21499745
codefor,Q11379575,Q232595
codefor,Q11384409,Q1061354
codefor,Q11391317,Q232595
codefor,Q11395120,Q232595
codefor,Q11396609,Q23055252
codefor,Q11397152,Q232595
codefor,Q11397382,Q232595
codefor,Q11399159,Q232595
codefor,Q11399825,Q232595
codefor,Q11400147,Q232595
codefor,Q11400372,Q232595
codefor,Q11409844,Q232595
codefor,Q11411691,Q232595
codefor,Q11412937,Q835109
codefor,Q11422694,Q232595
codefor,Q11422753,Q1061354
codefor,Q11425985,Q232595
codefor,Q11427301,Q232595
codefor,Q11431868,Q232595
codefor,Q11433281,Q1061354
codefor,Q11434738,Q232595
codefor,Q11438832,Q23055252
codefor,Q11438945,Q232595
codefor,Q11439619,Q232595
codefor,Q11446165,Q23055252
codefor,Q11451405,Q232595
codefor,Q11453336,Q232595
codefor,Q11454258,Q23055252
codefor,Q11454333,Q232595
codefor,Q11454668,Q232595
codefor,Q11458942,Q232595
codefor,Q11459848,Q23055252
codefor,Q11460163,Q232595
codefor,Q11461246,Q232595
codefor,Q11461955,Q232595
codefor,Q11462582,Q327591
codefor,Q11462766,Q23055252
codefor,Q11462993,Q232595
codefor,Q11465449,Q232595
codefor,Q11466071,Q232595
codefor,Q11466249,Q23055252
codefor,Q11467778,Q327591
codefor,Q11470671,Q232595
codefor,Q11475456,Q232595
codefor,Q11475894,Q23055252
codefor,Q11479573,Q232595
codefor,Q11488572,Q327591
codefor,Q11513088,Q232595
codefor,Q11518048,Q21499745
codefor,Q11518159,Q232595
codefor,Q11518163,Q327591
codefor,Q11518790,Q232595
codefor,Q11520430,Q23055252
codefor,Q11523004,Q232595
codefor,Q11523193,Q23055252
codefor,Q11535033,Q23055252
codefor,Q11536382,Q232595
codefor,Q11542092,Q1061354
codefor,Q11544051,Q232595
codefor,Q11544282,Q232595
codefor,Q11545768,Q232595
codefor,Q11546026,Q232595
codefor,Q11546528,Q327591
codefor,Q11546586,Q232595
codefor,Q11547421,Q232595
codefor,Q11551703,Q232595
codefor,Q11552157,Q232595
codefor,Q11554229,Q21499745
codefor,Q1155448,Q23055252
codefor,Q11556075,Q232595
codefor,Q11558377,Q21499745
codefor,Q11560960,Q641600
codefor,Q11562188,Q232595
codefor,Q11566681,Q232595
codefor,Q11568677,Q232595
codefor,Q11572647,Q23055252
codefor,Q11576787,Q232595
codefor,Q11577186,Q232595
codefor,Q11577205,Q232595
codefor,Q11577481,Q232595
codefor,Q11578505,Q641600
codefor,Q11580176,Q232595
codefor,Q11580448,Q232595
codefor,Q11585604,Q232595
codefor,Q11585840,Q232595
codefor,Q11589528,Q232595
codefor,Q11589542,Q23055252
codefor,Q11590601,Q232595
codefor,Q11592023,Q232595
codefor,Q11593023,Q23055252
codefor,Q11597257,Q232595
codefor,Q11598974,Q1061354
codefor,Q11602573,Q232595
codefor,Q11603860,Q232595
codefor,Q11606064,Q232595
codefor,Q11616618,Q327591
codefor,Q11619261,Q232595
codefor,Q11622647,Q232595
codefor,Q11622818,Q232595
codefor,Q11623218,Q232595
codefor,Q11634137,Q327591
codefor,Q11635735,Q232595
codefor,Q11637002,Q21499745
codefor,Q11637774,Q1061354
codefor,Q11642258,Q21499745
codefor,Q11644760,Q23055252
codefor,Q11645002,Q232595
codefor,Q11646784,Q23055252
codefor,Q11647123,Q21499745
codefor,Q11648868,Q232595
codefor,Q11649189,Q327591
codefor,Q11651619,Q232595
codefor,Q11651845,Q232595
codefor,Q11654965,Q232595
codefor,Q11661236,Q232595
codefor,Q11661965,Q23055252
codefor,Q11667848,Q21499745
codefor,Q11668691,Q23055252
codefor,Q11670038,Q232595
codefor,Q11671375,Q232595
codefor,Q11673487,Q232595
codefor,Q11677736,Q232595
codefor,Q11678114,Q23055252
codefor,Q11679075,Q232595
codefor,Q129149,Q23055252
codefor,Q130856,Q23055252
codefor,Q132280,Q23055252
codefor,Q1336805,Q23055252
codefor,Q1478311,Q23055252
codefor,Q15220933,Q232595
codefor,Q16264927,Q1061354
codefor,Q1655755,Q232595
codefor,Q16769971,Q232595
codefor,Q16770033,Q232595
codefor,Q17158474,Q232595
codefor,Q17158549,Q232595
codefor,Q17158714,Q23055252
codefor,Q17158871,Q232595
codefor,Q17159494,Q232595
codefor,Q17160872,Q232595
codefor,Q17219387,Q232595
codefor,Q17223599,Q23055252
codefor,Q1761759,Q21499745
codefor,Q18669603,Q641600
codefor,Q18700742,Q641600
codefor,Q18700919,Q23055252
codefor,Q18701018,Q232595
codefor,Q18817349,Q232595
codefor,Q18817567,Q641600
codefor,Q18817650,Q641600
codefor,Q18817798,Q641600
codefor,Q18817877,Q327591
codefor,Q18817972,Q641600
codefor,Q18818065,Q641600
codefor,Q18818101,Q641600
codefor,Q18818124,Q641600
codefor,Q18818128,Q23055252
codefor,Q18818200,Q641600
codefor,Q18818207,Q232595
codefor,Q18818221,Q641600
codefor,Q18818315,Q327591
codefor,Q1906668,Q23055252
codefor,Q1949760,Q23055252
codefor,Q20039047,Q232595
codefor,Q20039110,Q232595
codefor,Q20039172,Q232595
codefor,Q20039502,Q232595
codefor,Q20039675,Q232595
codefor,Q20040516,Q23055252
codefor,Q20040828,Q232595
codefor,Q20041303,Q232595
codefor,Q20041482,Q1061354
codefor,Q20041786,Q1061354
codefor,Q212400,Q23055252
codefor,Q21529384,Q21499745
codefor,Q21655809,Q1061354
codefor,Q21655823,Q232595
codefor,Q21655857,Q21499745
codefor,Q21703015,Q1061354
codefor,Q23907516,Q232595
codefor,Q2576940,Q232595
codefor,Q263777,Q23055252
codefor,Q265174,Q232595
codefor,Q30144920,Q641600
codefor,Q3435725,Q23055252
codefor,Q388496,Q23055252
codefor,Q405533,Q23055252
codefor,Q418119,Q23055252
codefor,Q463331,Q232595
codefor,Q4700952,Q327591
codefor,Q472792,Q23055252
codefor,Q47846,Q23055252
codefor,Q4817826,Q23055252
codefor,Q49875,Q23055252
codefor,Q49943,Q23055252
codefor,Q5100105,Q23055252
codefor,Q513317,Q23055252
codefor,Q516232,Q23055252
codefor,Q5349200,Q23055252
codefor,Q548239,Q23055252
codefor,Q57647,Q23055252
codefor,Q5770152,Q23055252
codefor,Q5771003,Q23055252
codefor,Q58213,Q23055252
codefor,Q582685,Q23055252
codefor,Q6088170,Q23055252
codefor,Q6102348,Q23055252
codefor,Q6140382,Q23055252
codefor,Q6311513,Q232595
codefor,Q6314413,Q23055252
codefor,Q6360573,Q23055252
codefor,Q6381578,Q23055252
codefor,Q6383646,Q641600
codefor,Q6383814,Q23055252
codefor,Q6383911,Q23055252
codefor,Q6389323,Q23055252
codefor,Q6389412,Q23055252
codefor,Q6391984,Q23055252
codefor,Q6426239,Q23055252
codefor,Q6433881,Q327591
codefor,Q653000,Q23055252
codefor,Q6739516,Q23055252
codefor,Q6746585,Q23055252
codefor,Q6782391,Q232595
codefor,Q6782673,Q23055252
codefor,Q6837954,Q23055252
codefor,Q6864590,Q327591
codefor,Q6883317,Q23055252
codefor,Q697258,Q232595
codefor,Q729599,Q232595
codefor,Q732087,Q23055252
codefor,Q7446737,Q23055252
codefor,Q7477634,Q232595
codefor,Q7496342,Q1061354
codefor,Q7497524,Q23055252
codefor,Q7504421,Q23055252
codefor,Q7504756,Q232595
codefor,Q7504802,Q23055252
codefor,Q7677066,Q23055252
codefor,Q7677320,Q23055252
codefor,Q7677366,Q232595
codefor,Q7677369,Q23055252
codefor,Q7677383,Q21499745
codefor,Q7827415,Q23055252
codefor,Q784087,Q23055252
codefor,Q7973013,Q1061354
codefor,Q8050022,Q23055252
codefor,Q8055323,Q23055252
codefor,Q8056240,Q23055252
codefor,Q8060577,Q232595
codefor,Q923428,Q21499745
codefor,Q978256,Q21499745
